shop_num_1,shop_name,shop_addr_1,shop_addr_2,shop_city,shop_state,shop_zip,shop_addr_1_m,shop_addr_2_m,shop_city_m,shop_state_m,shop_zip_m,shop_phone_1,shop_phone_2,shop_email,shop_website,shop_owner,shop_hours,shop_mdse
4290,Cross Stitch Peddler,"124 14th Street SW, Suite D1",,Decatur,AL,35601,"124 14th Street, SW",,Decatur,AL,35601,(256) 350-7780,,,https://www.facebook.com/pages/Cross-Stitch-Peddler/139412739439811,Marlene Privett,"Tu-F 10-4, Sa 10-3",C
18202,Born to Stitch,772 Humboldt Street,,Secaucus,NJ,7094,772 Humboldt Street,,Secaucus,NJ,7094,(201) 300-1919,,info@borntostitch.com,http://www.borntostitch.com,,"Th 11-7, F 11-5, Sa,Su 11-4, M-W by appt.",C
4362,Deer Hill Farm Cross Stitching,"1225 Route 9G, Suite D",Country Plaza,Hyde Park,NY,12538,"1225 Route 9G, Suite D",Country Plaza,Hyde Park,NY,12538,(845) 229-0246,,deerhillfarmxs@optimum.net,www.facebook.com/DeerHillFarmCrossStitching/,Pat Athanas,"TuWFSa 10-4, Th 10-7",C
4564,Picture This Plus,212 N. Broadway,,Abilene,KS,67410,,,,,,(866) 314-4343,(785) 263-9930,,www.picturethisplus.com,Marilyn,,C
4265,The Stitching Bee,2304 Velp Avenue,,Green Bay,WI,54303,2304 Velp Avenue,,Green Bay,WI,54303,(920) 434-6884,,xstbee@aol.com,http://www.stitching-bee.com,Kendra Buntman,"M-Th 10-5 F 10-3, Sa 10-1",C
10525,Clare's Stitching Post LLC,682 Main Street,,Vermilion,OH,44089,682 Main Street,,Vermilion,OH,44089,(440) 967-0826,,claresstitchingpost@gmail.com,http://www.claresstitchingpost.com,Clare Uebbing,"M-F 11-5, Sa 11-4",C
3782,Acorns & Threads,"4475 SW Scholls Ferry Road, Suite 158",,Portland,OR,97225,"4475 SW Scholls Ferry Road, Suite 158",,Portland,OR,97225,(503) 292-4457,,custserv@acornsandthreads.com,http://www.acornsandthreads.com,Jeannine Cheney,Tu-Sa 10am - 4pm,C
15766,Cross Stitch Felicity,P.O Box 2261,,Dacula,GA,30019,,,,,,(678) 951-0806,,contact_us@cross-stitchfelicity.com,cross-stitchfelicity.com,,,C
14544,Carrie's Creations Inc.,"10280 Brutus Road, Suite 1A",,Brutus,MI,49716,,,,,,(231) 753-8792,,orders@crossstitchers.com,www.crossstitchers.com,Carrie,,C
4398,Needlecraft Corner,"7905 Harford Road, Suite E",,Baltimore,MD,21234,7905 Harford Road,,Baltimore,MD,21234,(443) 725-7587,(888) 396-8008,drema@needlecraft-corner.com,https://www.needlecraft-corner.com,Drema Austen,"Tu-F 10:30-5, Sa 11-3",C
4373,Stitching Bits and Bobs,"211 E. Bannister Street, Suite A9",,Plainwell,MI,49080,"211 E. Bannister Street, Suite A9",,Plainwell,MI,49080,(269) 685-9418,,bobbie@stitchingbitsandbobs.com,www.stitchingbitsandbobs.com,Bobbie Sankatsing,"TuThF 10-4, W 10-8, Sa 10-2 and by appt.",C
12851,European Treasures,701 Kennoway Court,,Myrtle Beach,SC,29579,,,,,,(843) 903-6102,,802valentina@gmail.com,,Valentina Busch,Call for hours,C
4307,Country Cupboard,325 N. Front Street,,Murfreesboro,TN,37130,325 N. Front Street,,Murfreesboro,TN,37130,(615) 895-1632,,cocup@att.net,,Beverly Hollis,"MWThF 10-4, Sa 10-2",C
4356,Craft Gallery Ltd.,406 Walnut Street,,Findlay,OH,45840,406 Walnut Street,,Findlay,OH,45840,(419) 422-7980,,pcfruth@yahoo.com,craftgalleryohio.com,Paula & Carlton Fruth,"ThF 10-5, Sa 10-4",C
17901,"stitch, etc.",14 E. Columbia Street,,Farmington,MO,63640,14 E. Columbia Street,,Farmington,MO,63640,(573) 315-1374,,stitchetc.1@gmail.com,https://www.facebook.com/groups/stitchetc/,Kim Gavlik,"Tu-F 10-4, Sa 10-3",C
